id	doc	severity	class	provenance	owner_gated	module	patterns	owner_decision	readme_top	phase	lane	title	disposition	ruling	sha	note
benches-envelope-19	api	low	feature-gap	verified	yes	Benches and examples		21		P6		Harvesting versions from a Snapshot pays an Arc clone, downcast, and drop per element; no versions-only enumeration exists	fix	T65		
benches-envelope-6	api	low	api-surprise	verified	yes	Benches and examples	api: Hidden but ungated calibration hooks on the production handles	19		P6		warm_caches is doc(hidden) but unconditionally public on Rumors, Peer, and Snapshot; its only callers are benches and tests	fix	T64		
swarm-example-18	api	low	feature-gap	verified	no	Benches and examples		79		P5	benches	The example discards `Gossiped` and never surfaces `SessionStats`, the crate's own per-session measurement	fix-amended	T27		resolved by deleting the example
swarm-example-22	api	low	api-surprise	verified	no	Benches and examples				P6		`CountConnector::connect` discards the inner `Done` instead of forwarding completion	fix-amended	T27		resolved by deleting the example
conformance-1	api	medium	feature-gap	assessed	yes	Conformance		23		P6		The module doc promises a suite per caller-implementable boundary; `Bookmark` has none	fix	T69		
conformance-37	api	low	api-surprise	verified	yes	Conformance		23		P6		The cancellation probe requires two connects to complete while the peer's acceptor is unpolled, a precondition the link contract does not state	fix-amended	T71		
conformance-6	api	low	feature-gap	assessed	yes	Conformance		23		P6		A hang under `check` names no check	fix	T69		
api-audit-1	api	medium	api-surprise	verified	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)	api: Derived impls on generic wrappers bind `T` and `B` where the representation never inspects them		21	P6		Derived trait impls on wrapper types demand bounds the wrapped values never need	fix	T83		
api-audit-11	api	nit	feature-gap	verified	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)	api: What the crate configures and measures cannot be read back	22		P6		Session settings cannot be read back	fix	T66,T68		
api-audit-13	api	low	api-surprise	verified	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)	api: Error variants no public path produces, and an origin the taxonomy does not state	18		P6		`MirrorError`'s public shape carries meaning the user cannot read off it	fix	T63		
api-audit-15	api	low	api-surprise	verified	yes	Crate root and public surface (lib, peer, rumors, batch, snapshot, network, tags, protocol, error, tutorial)	api: Hidden but ungated calibration hooks on the production handles	19		P6		`#[doc(hidden)]` bench hooks are not feature-gated like their siblings	fix	T64		
