id	doc	severity	class	provenance	witness	owner_gated	module	patterns	owner_decision	readme_top	phase	lane	title	disposition	ruling	sha	note
api-audit-1	api	medium	api-surprise	verified		yes	Crate root and public types	api: Linearity is guarded against duplication, not loss	2	19	P7		Party and Clock carry no #[must_use]; a discarded fork or seed leaks id space silently	open			
api-audit-11	api	low	api-surprise	verified		yes	Crate root and public types	api: Missing duals	6		P7		Span (and shape::Plateau/Rise/Region) lack Hash while every other value type in the crate has it	open			
api-audit-13	api	low	feature-gap	verified		yes	Crate root and public types	api: Missing duals	5		P7		Ticks out-conversions and subtraction are narrower than its in-conversions and than Rank's	open			
api-audit-14	api	low	api-surprise	verified		yes	Crate root and public types	api: Error types are where a consumer first stumbles	10		P7		Rank::decode labels its representation bound Decode::NotCanonical, and neither error enum is #[non_exhaustive]	open			
api-audit-6	api	low	api-surprise	verified		yes	Crate root and public types	api: A public name that no path spells	3		P7		The fork iterators are defined as `Forks` but reachable only as `iter::Clock`/`iter::Party`; rustdoc shows a name the user cannot import	open			
clippy-pedantic-4	api	low	api-surprise	assessed		yes	Crate root and public types	api: Linearity is guarded against duplication, not loss	2	19	P7		The linear types `Party` and `Clock` and the pure `Version`/`Rank` combinators carry no `#[must_use]`	open			
fresh-eyes-14	api	nit	api-surprise	verified		yes	Crate root and public types	api: Missing duals	5		P7		Ticks converts out to u64 only by reference	open			
fresh-eyes-15	api	nit	api-surprise	verified		yes	Crate root and public types	api: Error types are where a consumer first stumbles | api: Linearity is guarded against duplication, not loss	8		P7		Clock::join hands back a Clock in Err, which does not compose with `?`	open			
fresh-eyes-16	api	nit	feature-gap	verified		yes	Crate root and public types	api: Missing duals	12		P7		Rank renders to text but does not parse	open			
fresh-eyes-5	api	low	api-surprise	verified		yes	Crate root and public types	api: Error types are where a consumer first stumbles	7		P7		Decode::Io drops the io::Error from the error source chain	open			
fresh-eyes-6	api	low	api-surprise	verified		yes	Crate root and public types		9		P7		The causally atoms expose contains but not coverage	open			
fresh-eyes-9	api	low	api-surprise	verified		yes	Crate root and public types	api: A public name that no path spells	3		P7		The fork iterator's documented name is not importable	open			
rank-21	api	nit	api-surprise	verified		yes	Crate root and public types		14		P7		Display honors formatter flags only for integral ranks	open			
span-causally-1	api	nit	api-surprise	verified		yes	Crate root and public types	api: Missing duals	6		P7		`Span` derives `Eq` but not `Hash`, unlike `Version` and every verdict type beside it	open			
codec-base-text-tree-18	api	nit	api-surprise	assessed		yes	The codec	api: Error types are where a consumer first stumbles	11		P7		The id and version text doors disagree on whether trailing junk outranks `NotCanonical`	open			
codec-bits-11	api	nit	api-surprise	verified		no	The codec	api: Missing duals			P7		BitsBuf::get panics where BitsView::get returns Option	open			
fuelscape-pipeline-14	api	nit	api-surprise	verified		no	The instruments: fuelscape	api: Documented workflows without a tool path			P7		Preconditions unstated where the arithmetic relies on them: bit_window(0), sample_bytes past the table, ClockSlice at one byte	open			
fuelscape-render-15	api	medium	feature-gap	verified		no	The instruments: fuelscape	api: Documented workflows without a tool path	66		P6	fuelscape	The dump format accretes, but the only writer truncates the index, and the one accretion on record was a hand merge	open			
fuelscape-render-17	api	low	feature-gap	verified		yes	The instruments: fuelscape		66		P6	fuelscape	The stored `HeatGrid` has no regrid path, so any change to the aggregation constants makes the committed dump unreadable	open			
suanpan-10	api	low	api-surprise	assessed		yes	suanpan		17,38		P7		A zero wide operand spills the register and can flip a domination certificate	open			
suanpan-tests-8	api	nit	api-surprise	assessed		yes	suanpan		17		P7		merge_into_wider hands back an ordinary Accumulator whose value is unspecified; three test sites carry the reset obligation by convention	open			
clock-14	claims	low	claim	assessed		no	Crate root and public types	"claims: Per-level re-work hidden inside ""linear"""	29		P2		The literal door's `O(n)` inherits a per-level rescan that is quadratic in nesting depth	fix	34		
clock-3	claims	medium	claim	verified		no	Crate root and public types		30		P2		"`forks` publicly promises exactly `k` children; the count saturates at `u64::MAX`, and ""keeps the last share"" names the wrong position"	fix-amended	35		
crate-root-24	claims	medium	claim	verified		yes	Crate root and public types	claims: Numbers without artifacts	37		P4		"""Approximately 100× more space-efficient than a naïve transcription"" has no committed measurement"	fix	60		
crate-root-25	claims	medium	claim	verified		yes	Crate root and public types	claims: Summary claims outrun their per-operation contracts	21	12	P2		"The headline promises ""asymptotically linear"" performance; the crate's own contracts are superlinear for rank, text I/O, the render merge, and the folds"	open			
crate-root-29	claims	medium	claim	verified		yes	Crate root and public types		37		P4		The space-efficiency figures name parameters no committed measurement uses	fix	60		
crate-root-31	claims	low	claim	verified		no	Crate root and public types	claims: Summary claims outrun their per-operation contracts			P4		"""Every operation is verified differentially against"" both references overstates the roster"	open			
crate-root-40	claims	medium	claim	verified		no	Crate root and public types	claims: Flag-day residue in cost prose | claims: The hard-guarantee sentence and the meter header, reconciled	21	12	P2		"The meter suite's header says the implementation is ""far from"" the contract the crate docs state as a hard guarantee"	fix	1		ruled fix; instrument row lands red before the cure
crate-root-6	claims	low	claim	verified		no	Crate root and public types				P2		"Island summaries denominate every bound ""in total input bytes"" while the datasets carry a per-operation `size_measure`"	open			
paper-fidelity-1	claims	medium	claim	verified		no	Crate root and public types	claims: Numbers without artifacts	37		P4		Space Efficiency paragraph quotes figures no committed measurement produced	fix	60		
paper-fidelity-2	claims	medium	claim	verified		no	Crate root and public types		37		P4		"""100× more space-efficient than a naïve transcription"" has no committed measurement and no stated denominator"	fix	60		
paper-fidelity-3	claims	medium	claim	verified		no	Crate root and public types		21	12	P2		"""asymptotically linear performance"" contradicts the roster's own documented bounds"	open			
party-1	claims	medium	claim	verified		no	Crate root and public types				P2		"`covers`/`is_disjoint` contracts say ""no allocation""; the walk allocates and the crate's own envelopes pin the heap"	fix-amended	44		
party-11	claims	medium	claim	verified		yes	Crate root and public types	"claims: Per-level re-work hidden inside ""linear"""	29		P2		The tuple-literal door is `O(n·depth)`, not `O(n)`: every nesting level re-copies and re-validates its subtree	fix	34		
party-21	claims	nit	claim	verified		no	Crate root and public types	claims: Numbers without artifacts			P4		Index doc claims a wall-time measurement no committed artifact holds	open			
party-22	claims	medium	claim	assessed		no	Crate root and public types				P2		"`IdIndex` doc says its `u32` table is ""strictly smaller than the operand itself""; it is up to eight times larger"	fix-amended	44		
party-23	claims	medium	claim	verified		yes	Crate root and public types		28		P2		Past 2^32 packed bits the fold index falls back to the quadratic discipline; the public bound carries no size clause	fix	33		
party-25	claims	medium	claim	verified		no	Crate root and public types	performance: Where the review found no avoidable work			P8		`IdIndex::is_disjoint`'s stated `O(Σ inputs + B log n)` bound does not describe the code: a table search runs in the left-only arm and its result is discarded	open			
party-9	claims	medium	claim	verified		no	Crate root and public types		34		P2		"`Party::shape` says ""nothing allocates""; the walk's path stacks spill a word every 64 levels, and nothing prices the drain"	fix-amended	37		allocation sentence elided per ruling 44, not restated
rank-10	claims	low	claim	verified		no	Crate root and public types	claims: Numbers without artifacts	10		P4		Rank::decode's # Errors says NotCanonical needs 2 EiB of input; a nine-byte header reaches it	open			
rank-20	claims	medium	claim	verified		no	Crate root and public types	"claims: Per-level re-work hidden inside ""linear"" | claims: The committed instrument measures the benign case"	27		P1		sum_ranks' amortization claim is false for ascending exponent order, and both committed pins fix the benign order while naming it the adversary	fix	32		
rank-23	claims	nit	claim	verified		no	Crate root and public types				P2		The module doc attributes arm placement to pins that assert values only	open			
rank-32	claims	medium	claim	verified		no	Crate root and public types		72		P6	core	Ranked::encode_rank is documented as a fused, more efficient emission; it is Rank::encode by another name, and has been since the commit that introduced it	open			
rank-33	claims	high	claim	verified		no	Crate root and public types	claims: Meter blind spots decide what can be claimed | claims: The committed instrument measures the benign case | claims: The hard-guarantee sentence and the meter header, reconciled | performance: Where the review found no avoidable work	23	4	P2		Ranked::cmp promises O(|self| + |other|) but runs the multiplication-bound rank settle	fix	29		ruled fix; instrument row lands red before the cure
rank-4	claims	medium	claim	verified		no	Crate root and public types				P2		The bold public size claim is false at small scale	fix-amended	46		
span-causally-24	claims	medium	claim	assessed		yes	Crate root and public types	"claims: Meter blind spots decide what can be claimed | claims: Per-level re-work hidden inside ""linear"" | claims: The committed instrument measures the benign case | dependence: The ledger records values; rumors also relies on costs | performance: Where the review found no avoidable work"	25	5	P1		"The fused query walks do k sign reads and k probe folds per elementary interval for k live holes; the public contracts and the polarity rationale say ""linear time"""	fix	31		
span-causally-25	claims	low	claim	verified		no	Crate root and public types	claims: Summary claims outrun their per-operation contracts	25		P2		The module-level `# Complexity` says every pass is linear; the conjoin island it links declares `O(|self| · |rhs|)`	fix	31		
span-causally-36	claims	high	claim	assessed		no	Crate root and public types	"claims: Per-level re-work hidden inside ""linear"" | claims: The hard-guarantee sentence and the meter header, reconciled | dependence: The ledger records values; rumors also relies on costs | performance: Where the review found no avoidable work"	25	5	P2		`Query::coverage`'s `Partial` refinement sweeps the clamped endpoint once per hole: Θ(k·|hi|) against a published `O(|self| + |span|)`, with no multi-hole instrument	fix	31		ruled fix; instrument row lands red before the cure
version-core-1	claims	nit	claim	verified		no	Crate root and public types				P2		`Version::new`'s cross-call clone-identity claim has no pin	open			
version-core-16	claims	nit	claim	assessed		no	Crate root and public types	"claims: Per-level re-work hidden inside ""linear"""	29		P2		The tuple-literal `TryFrom` states `O(m)` but each nesting level re-scans its children	fix	34		
version-core-23	claims	low	claim	assessed		no	Crate root and public types				P2		`Ticks`' `Sum` bound omits the per-summand term and states no amortization argument	open			
version-core-5	claims	medium	claim	verified		yes	Crate root and public types	dependence: Contracts stated in tests, not at the method	18	20	P4		The join/meet subadditivity lemma is derived only in test prose, though the folds' auxiliary-space bounds and a downstream budget rest on it	open			
version-core-9	claims	low	claim	verified		yes	Crate root and public types		35		P4		"`shape`'s closing paragraph argues from ""realistically reachable"" versions, which the same file's doctest refutes"	fix	58		
crate-root-17	claims	low	claim	verified		no	Cross-cutting: fold and shape				P2		fold.rs states operand-size balance the counter does not provide	open			
crate-root-37	claims	low	claim	verified		no	Cross-cutting: fold and shape		34		P2		Shape walks allocate an O(depth)-bit path stack past 64 levels; `Party::shape` says nothing allocates	fix	37		
paper-fidelity-5	claims	low	claim	verified		no	Cross-cutting: fold and shape				P2		fold.rs's partner-size clause is false in the crate's byte-size denomination	open			
codec-base-text-tree-13	claims	medium	claim	assessed		yes	The codec	"claims: Per-level re-work hidden inside ""linear"""	29		P2		The `Party` literal door's public rustdoc claims `O(n)`; per-level copying and `validate_id` make a nested literal quadratic	fix	34		
codec-bits-10	claims	nit	claim	assessed		no	The codec				P2		"with_capacity docs promise a past-address-space hint ""allocates nothing up front"", which holds only where usize::try_from fails"	open			
codec-bits-2	claims	nit	claim	verified		no	The codec	claims: Numbers without artifacts			P4		"The ladder essay's ""order of magnitude"" ratio is a number no instrument measures"	open			
codec-bits-27	claims	nit	claim	assessed		no	The codec				P2		BitStack's type doc claims every operation is O(1); all_set and trailing_ones are scans	open			
codec-bits-29	claims	medium	claim	assessed		no	The codec	"claims: Meter blind spots decide what can be claimed | claims: Per-level re-work hidden inside ""linear"" | performance: Where the review found no avoidable work"	24	3	P1		peek_flip re-scans the path's trailing run on every call; parked cursors in the masked and projection walks pay O(run / 64) per step of the other operand, outside every meter	fix	30		
benches-examples-13	claims	low	claim	verified		no	The instruments				P2		"The wall cells run under `peak_alloc`, whose `realloc` never grows in place, so the counting allocator's overhead is not ""identical across arms"""	open			
benches-examples-25	claims	medium	claim	verified		yes	The instruments		91		P3		results/benchmarks is a 2026-06-02 record of benches that no longer exist, with a wrong mechanism for its largest quoted win and a broken table row	fix	57		
board-families-floors-judge-14	claims	low	claim	assessed		no	The instruments				P2		`touch_pair_fold`'s doc overclaims that a dead touch meter trips on every committed pair family	open			
board-frame-26	claims	low	claim	verified		yes	The instruments		69		P4		"The validation index calls the board's ceilings ""class-scale"", but the touch, κ, fold-scan, and family-stated constants are pinned at worst-reader ×1.25"	fix-amended	63		
