source	class	severity	count
final/api-core.md	api-surprise	low	1
final/api-core.md	api-surprise	medium	1
final/api-core.md	api-surprise	nit	2
final/api-core.md	correctness	low	1
final/api-core.md	correctness	nit	1
final/api-core.md	documentation	low	5
final/api-core.md	documentation	medium	2
final/api-core.md	documentation	nit	7
final/api-core.md	idiom	low	1
final/api-core.md	idiom	nit	3
final/api-core.md	modularity	low	1
final/api-core.md	performance	low	1
final/api-core.md	performance	medium	1
final/api-core.md	simplification	low	1
final/api-core.md	simplification	medium	2
final/api-core.md	simplification	nit	1
final/api-core.md	test-quality	low	1
final/api-core.md	verification-gap	medium	1
final/api-core.md	verification-gap	nit	1
final/api-core.md	vestigial	low	2
final/api-core.md	vestigial	nit	1
final/benches-envelope.md	api-surprise	low	1
final/benches-envelope.md	correctness	low	1
final/benches-envelope.md	correctness	medium	1
final/benches-envelope.md	correctness	nit	1
final/benches-envelope.md	documentation	low	2
final/benches-envelope.md	documentation	medium	2
final/benches-envelope.md	documentation	nit	8
final/benches-envelope.md	feature-gap	low	1
final/benches-envelope.md	idiom	low	2
final/benches-envelope.md	idiom	nit	1
final/benches-envelope.md	modularity	low	1
final/benches-envelope.md	modularity	nit	1
final/benches-envelope.md	performance	low	1
final/benches-envelope.md	simplification	low	2
final/benches-envelope.md	simplification	nit	1
final/benches-envelope.md	test-quality	low	1
final/benches-envelope.md	test-quality	nit	2
final/benches-envelope.md	verification-gap	low	1
final/benches-envelope.md	verification-gap	medium	2
final/benches-envelope.md	vestigial	low	1
final/benches-envelope.md	vestigial	medium	1
final/conformance.md	api-surprise	low	1
final/conformance.md	documentation	low	5
final/conformance.md	documentation	nit	10
final/conformance.md	feature-gap	low	1
final/conformance.md	feature-gap	medium	1
final/conformance.md	idiom	low	2
final/conformance.md	idiom	nit	3
final/conformance.md	simplification	low	3
final/conformance.md	simplification	medium	1
final/conformance.md	simplification	nit	1
final/conformance.md	test-quality	low	3
final/conformance.md	test-quality	nit	1
final/conformance.md	verification-gap	high	1
final/conformance.md	verification-gap	low	4
final/conformance.md	verification-gap	medium	3
final/conformance.md	vestigial	low	1
final/conformance.md	vestigial	nit	1
final/link.md	api-surprise	low	1
final/link.md	correctness	medium	1
final/link.md	correctness	nit	2
final/link.md	documentation	low	3
final/link.md	documentation	nit	5
final/link.md	feature-gap	low	2
final/link.md	idiom	low	1
final/link.md	idiom	nit	4
final/link.md	modularity	low	1
final/link.md	modularity	medium	1
final/link.md	modularity	nit	1
final/link.md	performance	medium	1
final/link.md	performance	nit	1
final/link.md	simplification	low	2
final/link.md	simplification	nit	2
final/link.md	test-quality	low	1
final/link.md	test-quality	nit	1
final/link.md	verification-gap	low	1
final/materialized.md	api-surprise	nit	1
final/materialized.md	correctness	low	1
final/materialized.md	documentation	low	5
final/materialized.md	documentation	medium	2
final/materialized.md	documentation	nit	5
final/materialized.md	feature-gap	low	1
final/materialized.md	idiom	low	4
final/materialized.md	idiom	nit	5
final/materialized.md	modularity	low	4
final/materialized.md	performance	nit	2
final/materialized.md	simplification	low	1
final/materialized.md	simplification	medium	2
final/materialized.md	test-quality	low	2
final/materialized.md	verification-gap	high	1
final/materialized.md	verification-gap	low	2
final/materialized.md	vestigial	low	1
final/materialized.md	vestigial	nit	1
final/mirror-common.md	api-surprise	nit	1
final/mirror-common.md	correctness	medium	1
final/mirror-common.md	documentation	low	11
final/mirror-common.md	documentation	nit	5
final/mirror-common.md	idiom	low	2
final/mirror-common.md	idiom	nit	6
final/mirror-common.md	modularity	low	3
final/mirror-common.md	simplification	low	3
final/mirror-common.md	simplification	medium	1
final/mirror-common.md	simplification	nit	1
final/mirror-common.md	test-quality	nit	1
final/mirror-common.md	verification-gap	low	1
final/mirror-common.md	vestigial	nit	1
final/remote-adapter-streams.md	api-surprise	nit	1
final/remote-adapter-streams.md	documentation	low	4
final/remote-adapter-streams.md	documentation	nit	4
final/remote-adapter-streams.md	feature-gap	low	1
final/remote-adapter-streams.md	idiom	low	1
final/remote-adapter-streams.md	idiom	nit	4
final/remote-adapter-streams.md	modularity	low	1
final/remote-adapter-streams.md	performance	low	1
final/remote-adapter-streams.md	performance	medium	1
final/remote-adapter-streams.md	simplification	low	3
final/remote-adapter-streams.md	simplification	medium	2
final/remote-adapter-streams.md	simplification	nit	1
final/remote-adapter-streams.md	test-quality	low	1
final/remote-adapter-streams.md	test-quality	nit	1
final/remote-adapter-streams.md	verification-gap	low	3
final/remote-adapter-streams.md	vestigial	medium	1
final/remote-adapter-tests.md	documentation	low	1
final/remote-adapter-tests.md	documentation	medium	1
final/remote-adapter-tests.md	documentation	nit	4
final/remote-adapter-tests.md	idiom	nit	1
final/remote-adapter-tests.md	performance	nit	1
final/remote-adapter-tests.md	simplification	medium	3
final/remote-adapter-tests.md	test-quality	low	3
final/remote-adapter-tests.md	test-quality	medium	1
final/remote-adapter-tests.md	test-quality	nit	3
final/remote-adapter-tests.md	verification-gap	low	1
final/remote-adapter-tests.md	verification-gap	medium	1
final/remote-adapter-tests.md	vestigial	low	2
final/remote-capture-atlas.md	api-surprise	low	1
final/remote-capture-atlas.md	api-surprise	nit	1
final/remote-capture-atlas.md	correctness	high	1
final/remote-capture-atlas.md	documentation	low	4
final/remote-capture-atlas.md	documentation	medium	1
final/remote-capture-atlas.md	documentation	nit	4
final/remote-capture-atlas.md	idiom	low	2
final/remote-capture-atlas.md	idiom	nit	6
final/remote-capture-atlas.md	performance	low	1
final/remote-capture-atlas.md	simplification	low	1
final/remote-capture-atlas.md	simplification	nit	5
final/remote-capture-atlas.md	test-quality	low	3
final/remote-capture-atlas.md	test-quality	nit	2
final/remote-capture-atlas.md	verification-gap	medium	1
final/remote-capture-atlas.md	verification-gap	nit	1
