source	class	severity	count
final/benches-examples.md	claim	low	1
final/benches-examples.md	claim	medium	1
final/benches-examples.md	correctness	low	1
final/benches-examples.md	correctness	nit	1
final/benches-examples.md	documentation	high	1
final/benches-examples.md	documentation	low	4
final/benches-examples.md	documentation	nit	1
final/benches-examples.md	idiom	nit	3
final/benches-examples.md	modularity	medium	1
final/benches-examples.md	simplification	low	1
final/benches-examples.md	simplification	nit	1
final/benches-examples.md	test-quality	medium	1
final/benches-examples.md	test-quality	nit	1
final/benches-examples.md	verification-gap	low	5
final/benches-examples.md	verification-gap	medium	1
final/benches-examples.md	vestigial	medium	2
final/board-families-floors-judge.md	claim	low	1
final/board-families-floors-judge.md	correctness	low	1
final/board-families-floors-judge.md	documentation	low	5
final/board-families-floors-judge.md	documentation	medium	2
final/board-families-floors-judge.md	documentation	nit	1
final/board-families-floors-judge.md	idiom	low	2
final/board-families-floors-judge.md	idiom	nit	2
final/board-families-floors-judge.md	modularity	low	1
final/board-families-floors-judge.md	simplification	low	4
final/board-families-floors-judge.md	simplification	medium	1
final/board-families-floors-judge.md	test-quality	low	1
final/board-families-floors-judge.md	verification-gap	high	1
final/board-families-floors-judge.md	verification-gap	low	2
final/board-families-floors-judge.md	verification-gap	medium	2
final/board-families-floors-judge.md	vestigial	nit	1
final/board-frame.md	claim	low	2
final/board-frame.md	correctness	low	3
final/board-frame.md	documentation	low	8
final/board-frame.md	documentation	nit	3
final/board-frame.md	idiom	nit	1
final/board-frame.md	modularity	nit	1
final/board-frame.md	scaffolding	medium	2
final/board-frame.md	simplification	low	2
final/board-frame.md	simplification	nit	1
final/board-frame.md	test-quality	nit	1
final/board-frame.md	verification-gap	low	1
final/board-frame.md	vestigial	low	1
final/board-ops-render.md	correctness	medium	1
final/board-ops-render.md	correctness	nit	1
final/board-ops-render.md	documentation	low	5
final/board-ops-render.md	documentation	medium	1
final/board-ops-render.md	documentation	nit	3
final/board-ops-render.md	idiom	low	2
final/board-ops-render.md	idiom	nit	2
final/board-ops-render.md	modularity	low	2
final/board-ops-render.md	performance	low	1
final/board-ops-render.md	simplification	low	2
final/board-ops-render.md	test-quality	low	2
final/board-ops-render.md	test-quality	nit	1
final/board-ops-render.md	verification-gap	high	1
final/board-ops-render.md	verification-gap	low	2
final/board-ops-render.md	verification-gap	medium	4
final/board-ops-render.md	vestigial	low	1
final/clock.md	claim	low	1
final/clock.md	claim	medium	1
final/clock.md	correctness	medium	1
final/clock.md	documentation	low	5
final/clock.md	documentation	medium	1
final/clock.md	documentation	nit	9
final/clock.md	idiom	nit	2
final/clock.md	modularity	low	1
final/clock.md	performance	low	1
final/clock.md	simplification	low	1
final/clock.md	simplification	nit	1
final/clock.md	test-quality	low	1
final/clock.md	test-quality	medium	1
final/clock.md	verification-gap	low	1
final/clock.md	verification-gap	medium	1
final/codec-base-text-tree.md	api-surprise	nit	1
final/codec-base-text-tree.md	claim	medium	1
final/codec-base-text-tree.md	correctness	low	1
final/codec-base-text-tree.md	documentation	low	3
final/codec-base-text-tree.md	documentation	nit	4
final/codec-base-text-tree.md	idiom	nit	4
final/codec-base-text-tree.md	modularity	low	1
final/codec-base-text-tree.md	performance	nit	1
final/codec-base-text-tree.md	simplification	low	3
final/codec-base-text-tree.md	simplification	nit	3
final/codec-base-text-tree.md	test-quality	low	1
final/codec-base-text-tree.md	test-quality	medium	1
final/codec-base-text-tree.md	test-quality	nit	1
final/codec-base-text-tree.md	vestigial	low	1
